Order_Quantity,Unit_Cost,Unit_Price,Profit,Cost,Revenue
1,1252,2295,561,1252,1813
2,2171,3578,1097,4342,5439
1,1519,2443,900,1519,2419
1,344,540,185,344,529
1,713,1120,385,713,1098
1,713,1120,362,713,1075
4,713,1120,687,2852,3539
1,1266,2320,961,1266,2227
4,1252,2295,3805,5008,8813
1,1266,2320,1008,1266,2274
2,344,540,198,688,886
1,713,1120,205,713,918
1,344,540,83,344,427
3,344,540,572,1032,1604
4,2171,3578,5342,8684,14026
3,1252,2295,2854,3756,6610
2,2171,3578,1884,4342,6226
2,487,783,561,974,1535
2,713,1120,321,1426,1747
1,2171,3578,620,2171,2791
1,487,783,280,487,767
1,1083,1701,499,1083,1582
3,487,783,865,1461,2326
3,295,540,719,885,1604
1,713,1120,385,713,1098
1,344,540,77,344,421
2,344,540,381,688,1069
1,2171,3578,1371,2171,3542
3,2171,3578,4006,6513,10519
1,713,1120,362,713,1075
1,1083,1701,397,1083,1480
2,1083,1701,1100,2166,3266
1,344,540,83,344,427
1,1252,2295,561,1252,1813
1,1252,2295,997,1252,2249
3,1083,1701,884,3249,4133
1,713,1120,385,713,1098
1,1083,1701,397,1083,1480
4,487,783,495,1948,2443
3,2171,3578,2718,6513,9231
4,2171,3578,2479,8684,11163
1,1555,2443,424,1555,1979
1,1083,1701,601,1083,1684
1,1083,1701,397,1083,1480
3,2171,3578,1860,6513,8373
3,2171,3578,4006,6513,10519
4,1266,2320,2546,5064,7610
3,2171,3578,2826,6513,9339
1,713,1120,161,713,874
1,1083,1701,397,1083,1480
2,1266,2320,1366,2532,3898
1,420,769,241,420,661
4,295,540,937,1180,2117
1,1555,2443,448,1555,2003
3,1555,2443,1711,4665,6376
1,713,1120,362,713,1075
1,2171,3578,1371,2171,3542
1,1519,2443,582,1519,2101
2,2171,3578,2671,4342,7013
1,2171,3578,763,2171,2934
1,2171,3578,1192,2171,3363
1,1555,2443,375,1555,1930
1,344,540,185,344,529
1,1555,2443,497,1555,2052
4,1555,2443,3454,6220,9674
1,2171,3578,1335,2171,3506
1,1555,2443,351,1555,1906
2,1083,1701,1100,2166,3266
1,2171,3578,1335,2171,3506
1,1266,2320,752,1266,2018
2,1252,2295,1352,2504,3856
3,1912,3400,2220,5736,7956
4,1083,1701,975,4332,5307
2,1555,2443,750,3110,3860
4,344,540,503,1376,1879
3,713,1120,683,2139,2822
1,344,540,174,344,518
1,487,783,124,487,611
3,1252,2295,1821,3756,5577
1,1266,2320,961,1266,2227
1,1252,2295,951,1252,2203
4,1898,3375,5638,7592,13230
2,2171,3578,2528,4342,6870
1,713,1120,261,713,974
1,1083,1701,397,1083,1480
1,1266,2320,752,1266,2018
1,1266,2320,752,1266,2018
1,1555,2443,570,1555,2125
1,1555,2443,570,1555,2125
1,487,783,132,487,619
1,344,540,191,344,535
1,1083,1701,397,1083,1480
3,1266,2320,2257,3798,6055
3,1252,2295,2234,3756,5990
4,1555,2443,1793,6220,8013
1,344,540,77,344,421
1,344,540,126,344,470
4,2171,3578,5342,8684,14026
1,2171,3578,1335,2171,3506
4,2171,3578,5342,8684,14026
4,713,1120,1046,2852,3898
1,1083,1701,397,1083,1480
1,344,540,83,344,427
1,1083,1701,550,1083,1633
3,344,540,523,1032,1555
1,713,1120,362,713,1075
1,1083,1701,550,1083,1633
3,713,1120,1087,2139,3226
2,1083,1701,1100,2166,3266
1,1555,2443,497,1555,2052
