Course ID,Course Title,Hours
ACCT111,Fundamentals Of Accounting I,4
ACCT112,Fundamentals Of Accounting II,4
AGEN235,Tractor Operations and Maintenance,2
AGRI105,Principles of Agricultural Technology,2
AUTO100,Personal Auto Care,1
AUTO110,Automobile Driving,1
BIOL105,Human Biology,2
CHEM200,Environmental Science,2
COSC161,Fundamentals of Programming,3
COSC162,Data Structure And  Algorithms,3
COSC217,Introduction to Linux Administration,3
COSC220, Fundamentals of Software Engineering ,3
COSC225,Computer Organization,3
COSC237,Networks and Telecommunication,3
COSC238,Professional Practices in IT,3
COSC261,Operating Systems,3
COSC272,Object Oriented Design and Programming,3
COSC303,Real time and Embedded Systems,3
COSC343,Foundations Of Human Computer Interactions,3
COSC344,Data and  Network Security,3
COSC390,Mobile Application Programming,3
COSC399,Practical Experience ,2
COSC403,Real Time Systems,3
COSC440,Artificial Intelligence,3
COSC498,Senior Project,2
ECON210,Principles of Microeconomics,3
EDUC215,Introduction to Philosophy Of Christian Education,2
ELCT100,Basic Electronics Maintenance,1
ENGL105,Writing Skills,3
ENGL106,Speech Communications,1
ENVI227,Environment and Society,2
FDNT115,Cooking,1
FDNT120,Basic Cake Preparation & Cake Decoration,1
FNCE287,Principles of Finance,3
FREN103,Beginning French II,2
FTXD107,Quilting Laboratory,1
FTXD108,Weaving Laboratory,1
FTXD121,Creative Fashion Crafts Laboratory,1
GCAS107,Music Appreciation,2
HIST111,Concepts Of  World Civilization,2
HIST119,Issues in Development Studies,2
HLED110,Health Principles,1
INSY118,Introduction to Business Information Processing,3
INSY119,Business Information Processing and Applications,4
INSY210,Database Management Systems,3
INSY214,Web Design and Internet Technologies,3
INSY227,Computer Ethics,2
INSY228,Computer Ethics,3
INSY236,Microcomputer Applications,3
INSY281,Systems Analysis and Design,3
INSY305,Management Information Systems,3
INSY314,E-Commerce,2
INSY316,E-Commerce,3
INSY318,Accounting Information Systems,3
INSY336,Microcomputer Applications,4
INSY399,Practical Experience,2
INSY443,Research Methods in IT,2
INSY492,Senior Project,2
INSY497,IT  Project Management,3
KISW114,Language Skills in Kiswahili,2
LITE151,Introduction to Literary Appreciation,2
MATH113,Business mathematics I,3
MATH114,Business Mathematics II,3
MGMT130,Fundamentals of Management,3
MGMT141,Business Law I (Mercantile Law),2
MGMT151,Business Law I,3
MGMT231,Human Resource Management,3
MGMT237,Business Ethics,3
MGMT477,Business Ethics,3
MKTG115,Principles of Marketing,3
NRSG100,Cardio-Pulmonary Resuscitation,1
NUTR110,First Aid,1
OFAD306,Business Communication,3
PEAC107,Physical and Recreational Activities,1
PHYS100,Concepts of Physical Sciences,2
PSYC101,Introduction To Psychology,2
RELB220,Life And Teachings Of Jesus-General,2
RELH155,Adventist Heritage,2
RELT207,Christian Beliefs,3
RELT255,Introduction to Christian Ethics,2
SOCI121,Introduction to Sociology,2
STAT150,Probability Theory & Statistics,3
STAT201,Statistics  I,3
SWFI207,Family Issues,2
TCED231,Safety Education,2
WOOD100,Wood Work,1
